Dealer name;Provinces
Perdana Kenjeran;Jawa Timur
Arista Cibinong;Jawa Barat
Kumala Cemerlang Abadi Kendari;Sulawesi Tenggara
Kumala Cemerlang Abadi Palu;Sulawesi Tengah
Arista Bandung PH Mustofa;Jawa Barat
Arista Pontianak;Kalimantan Barat
SSD Petojo;DKI Jakarta
Arista Cikarang;Jawa Barat
Arista Garuda;DKI Jakarta
Arista Cengkareng;DKI Jakarta
Arista Summarecon Bekasi;Jawa Barat
Maju Motor Cikarang Barat;Jawa Barat
Perdana Sidoarjo;Jawa Timur
Arista Pluit;DKI Jakarta
Arista Cimone;Banten
Arista Serang;Banten
Kumala Bandung BKR;Jawa Barat
Kumala Lebakwangi;Jawa Barat
Kumala Pondok Indah;DKI Jakarta
AJM Semarang Sudirman;Jawa Tengah
Arista Ciledug;Banten
Kumala Motor Ternate;Maluku Utara
Kumala Motor Manado;Sulawesi Utara
Maju Motor Badung;Bali
Arista Depok;Jawa Barat
Arista P. Jayakarta;DKI Jakarta
Maju Motor Mataram;Nusa Tenggara Barat
Arista Bekasi;Jawa Barat
Arista Pekanbaru SM Amin;Riau
Arista Cikokol;Banten
Arista Tambun;Jawa Barat
Arista Bogor;Jawa Barat
ARISTA Cimahi;Jawa Barat
Arista Pekanbaru;Riau
Arista Lampung;Lampung
Maju Mobilindo Batam;Kepulauan Riau
Arista Sidoarjo;Jawa Timur
Kumala Cemerlang Abadi Gorontalo;Gorontalo
Kumala Cemerlang Abadi Palopo;Sulawesi Selatan
Kumala Motor Gowa;Sulawesi Selatan
Arista Samarinda;Kalimantan Timur
Arista Banjarmasin;Kalimantan Selatan
Arista Kalimalang;DKI Jakarta
Arista Bintaro;Banten
Arista Karawang;Jawa Barat
Arista HR Muhammad;Jawa Timur
Maju Motor Pondok Gede;DKI Jakarta
Arista Bandung Soekarno Hatta;Jawa Barat
Arista Bengkulu;Bengkulu
Kumala Cemerlang Abadi TSM Makassar;Sulawesi Selatan
Kumala Manado Malalayang;Sulawesi Utara
Arista Kelapa Gading;DKI Jakarta
Prima Cibubur;Jawa Barat
Prima Daan Mogot;Banten
Prima Cikupa;Banten
Prima Kebon Jeruk;DKI Jakarta
Maju Senayan;DKI Jakarta
Arista Gading Serpong;Banten
Maju Motor Tanjung Pinang;Kepulauan Riau
Arista Sampit;Kalimantan Tengah
Kumala Cemerlang Abadi Denpasar;Bali
Arista Cianjur;Jawa Barat
Arista Cilegon;Jawa Barat
Maju Motor Bangka;Kepulauan Bangka Belitung
Maju Motor Denpasar Timur;Bali
AJM Pekalongan;Jawa Tengah
AJM Yogyakarta;Daerah Istimewa Yogyakarta
Kumala Cemerlang Abadi Makassar;Sulawesi Selatan
Kumala Kotamobagu;Sulawesi Utara
Kumala Motor Minahasa Utara;Sulawesi Utara
Kumala Cemerlang Abadi Pare-Pare;Sulawesi Selatan
Kumala Cemerlang Abadi Bone;Sulawesi Selatan
Kumala Cemerlang Abadi Kolaka;Sulawesi Tenggara
Kumala Cemerlang Abadi Mamuju;Sulawesi Barat
Arista Palangkaraya;Kalimantan Tengah
ARISTA Medan Cemara;Sumatera Utara
Arista Pematang Siantar;Sumatera Utara
Arista Medan Ring Road;Sumatera Utara
Arista Kramat Jati;DKI Jakarta
Kumala Motor Baubau;Sulawesi Tenggara
Kumala Cemerlang Abadi Tomohon;Sulawesi Utara
Maju Motor Lubuklinggau;Sumatera Selatan
Perdana Malang;Jawa Timur
Arista Medan SM Raja;Sumatera Utara
Arista Medan Adam Malik;Sumatera Utara
Prima Kupang;Nusa Tenggara Timur
Prima Fatmawati;DKI Jakarta
Maju Palembang Simpang Polda;Sumatera Selatan
Arista Banda Aceh;Aceh
Arista Purwakarta;Jawa Barat
Kumala Alauddin;Sulawesi Selatan
Arista Sunter;DKI Jakarta
Arista Sukabumi;Jawa Barat
Arista Probolinggo;Jawa Timur
BLSS Basuki Rahmat;Jawa Timur
Maju Motor Imam Bonjol;Banten
Arista Tunjungan;Jawa Timur
Maju Motor Palembang;Sumatera Selatan
Maju Motor Surabaya Wiyung;Jawa Timur
Perdana Pasuruan;Jawa Timur
Maju Motor RE Martadinata;Banten
Arista Tasikmalaya;Jawa Barat
AJM Semarang Srondol;Jawa Tengah
AJM Yogyakarta Mlati;Daerah Istimewa Yogyakarta
AJM Magelang;Jawa Tengah
AJM Purwokerto;Jawa Tengah
AJM Solo;Jawa Tengah
AJM Solo Kleco;Jawa Tengah
Kumala Motor Gianyar;Bali
Arista Rancaekek;Jawa Barat
Arista Indramayu;Jawa Barat
Maju Motor Tabanan;Bali
BLSS Tuban;Jawa Timur
Arista Duri;Riau
ARISTA Rantau Prapat;Sumatera Utara
Perdana Madiun;Jawa Timur
Maju Motor Padang;Sumatera Barat
Arista Balikpapan;Kalimantan Timur
Arista Banyuwangi;Jawa Timur
Perdana Kediri;Jawa Timur
Arista Cirebon;Jawa Barat
Arista Jember;Jawa Timur
Arista Jemursari;Jawa Timur
Maju Motor Jambi;Jambi
AJM Kudus;Jawa Tengah
AJM Salatiga;Jawa Tengah
AJM Purworejo;Jawa Tengah
Perdana Jombang;Jawa Timur
AJM Tegal;Jawa Tengah
AJM Pati;Jawa Tengah
AJM Semarang;Jawa Tengah
AJM kendal;Jawa Tengah
Prima Mojokerto;Jawa Timur
Prima Gresik;Jawa Timur
Prima Madiun;Jawa Timur
Prima Harmoni;DKI Jakarta
WAS Jagakarsa;DKI Jakarta
SDM Ambon;Maluku
Maju Motor Wiyung;Jawa Timur
Maju Motor Setiabudi;Jawa Barat
Perdana Gresik;Jawa Timur
Perdana Mojokerto;Jawa Timur
Maju Motor Denpasar;Bali
